Date,v.speed,u.speed
8/20/1949,8.290001802,-1.489997979
8/21/1949,4.160001894,6.220001848
8/22/1949,5.25000187,6.040001852
8/23/1949,5.320001869,2.720001927
8/24/1949,3.990001898,5.970001854
8/25/1949,8.320001801,0.620001974
8/26/1949,-0.189998008,3.600001907
8/27/1949,3.370001912,3.520001909
8/28/1949,3.940001899,1.890001945
8/29/1949,4.840001879,-3.739997929
8/30/1949,-1.269997984,1.99E-06
8/31/1949,-3.219997941,0.390001979
9/1/1949,-2.489997957,-1.739997974
9/2/1949,8.870001789,-2.889997948
9/3/1949,1.640001951,1.700001949
9/4/1949,5.590001862,0.35000198
9/5/1949,-3.989997923,4.37000189
9/6/1949,4.170001894,5.640001861
9/7/1949,5.070001874,-4.439997913
9/8/1949,10.10000176,-11.91999775
9/9/1949,10.12000176,-6.539997866
9/10/1949,8.440001799,-2.309997961
9/11/1949,6.040001852,2.190001938
9/12/1949,0.690001972,4.450001888
9/13/1949,1.840001946,7.390001822
9/14/1949,1.070001964,8.690001793
9/15/1949,-3.209997941,8.540001797
9/16/1949,-4.039997922,11.35000173
9/17/1949,-4.669997908,10.07000176
9/18/1949,8.220001804,-2.219997963
9/19/1949,3.370001912,2.490001932
9/20/1949,-2.969997946,-2.269997962
9/21/1949,-7.909997836,2.290001936
9/22/1949,-1.46999798,5.540001864
9/23/1949,-0.459998002,-2.839997949
9/24/1949,-6.059997877,-4.15999792
9/25/1949,-4.689997908,0.33000198
9/26/1949,-8.419997824,5.370001867
9/27/1949,2.050001942,4.170001894
9/28/1949,8.4000018,-1.189997986
9/29/1949,7.120001828,3.050001919
9/30/1949,5.970001854,9.610001773
10/1/1949,7.090001829,3.400001911
10/2/1949,-1.639997976,8.890001789
10/3/1949,-4.469997913,7.540001819
10/4/1949,-1.139997987,3.300001914
10/5/1949,-2.059997967,-0.219998008
10/6/1949,1.740001949,-10.63999777
10/7/1949,3.050001919,6.470001843
10/8/1949,-5.439997891,11.72000173
10/9/1949,-0.039998012,0.100001985
10/10/1949,-0.569998,4.220001893
