Year,Age,Weight,Length,Sex,Maturity
2002,6,1.2,490,Male,1
2002,22,2.9,660,Female,3
2002,5,1.9,590,Male,2
2002,34,4,690,Male,3
2002,19,3.3,700,Female,6
2002,39,3.8,710,Male,3
2002,11,2.7,630,Female,6
2002,25,4.3,740,Female,3
2002,28,2.8,640,Male,3
2002,30,3.6,670,Male,3
2002,23,6.4,850,Female,6
2002,29,3.4,660,Male,6
2002,28,3.3,630,Male,6
2002,8,3.4,660,Female,3
2002,7,3.1,650,Female,3
2002,19,4.4,690,Female,6
2002,36,5.1,730,Male,6
2002,8,2.6,620,Male,3
2002,27,4,710,Male,3
2002,6,2.6,610,Female,2
2002,6,2.1,580,Male,1
2002,33,5.5,720,Female,3
2002,16,4.4,780,Female,3
2002,34,3.8,670,Male,3
2002,27,4.5,730,Female,3
2002,12,1.8,570,Female,2
2002,17,2.5,590,Male,2
2002,11,3.1,660,Male,6
2002,8,2.9,630,Female,2
2002,12,2.2,610,Male,2
2002,32,4.9,760,Female,6
2002,12,2.7,620,Female,3
2002,10,4.1,680,Female,3
2002,27,3.5,650,Male,3
2002,30,9.4,910,Female,3
2002,27,4.2,750,Female,5
2002,30,4.4,700,Male,3
2002,29,3,630,Male,3
2002,25,4.9,780,Female,5
2002,10,3.1,630,Male,3
2002,25,6.3,810,Female,5
2002,17,3,630,Female,2
2002,9,4.3,700,Female,3
2002,44,4.5,730,Male,6
2002,24,5.3,720,Female,3
2002,25,6.4,810,Female,3
2002,26,3.1,650,Male,6
2002,6,2.3,580,Male,2
2002,35,3.4,650,Male,3
2002,12,2.9,630,Male,2
2002,21,3.8,700,Male,6
2002,25,3.3,650,Male,6
2002,18,2.2,560,Male,2
2002,45,3.5,660,Male,6
2002,27,5.4,780,Female,3
2002,27,3.6,660,Male,3
2002,12,5.9,780,Female,3
2002,19,4.7,770,Male,1
2002,9,3.1,630,Female,2
2002,26,4.9,750,Male,3
2002,13,4.1,670,Female,3
2002,26,3.7,670,Male,3
2002,30,3.5,690,Female,5
2002,31,4.6,800,Female,3
2002,7,1.6,530,Male,1
2002,13,3.2,630,Male,2
2002,12,3.1,620,Female,2
2002,29,8.5,860,Male,3
2002,21,8.2,880,Female,3
2002,46,3.5,680,Male,3
2002,13,2.2,580,Male,3
2002,25,8.2,870,Female,3
2002,19,2.5,600,Female,3
2002,26,4.2,680,Female,3
2002,12,2.7,620,Female,2
2002,19,3.3,690,Female,3
2002,10,3.1,640,Female,2
2002,17,2.7,610,Male,2
2002,7,3.6,680,Female,2
2002,18,8.6,860,Female,3
2002,28,4.1,700,Male,3
2002,20,5.7,810,Female,5
2002,26,5.1,760,Male,3
2002,14,4,690,Female,3
2002,11,3.3,650,Male,3
2002,22,4.3,680,Male,3
2002,11,2.7,590,Male,1
2002,29,3.8,680,Male,3
2002,14,4,690,Female,2
2002,10,2.2,580,Male,1
2002,9,3.9,660,Female,2
2002,25,3.4,650,Male,3
2002,18,5.2,770,Female,3
2002,32,4.7,690,Male,6
2002,18,4.1,680,Female,2
2002,10,3.3,680,Female,2
2002,18,4.4,700,Male,3
2002,12,4,710,Female,3
2002,13,3.7,690,Female,3
2002,14,4,660,Female,2
2002,20,5.1,750,Female,3
2002,19,5.5,750,Female,6
2002,17,5.6,770,Female,6
2002,21,4.8,740,Male,3
2002,22,4,620,Male,3
2002,8,3.5,650,Female,3
2002,30,4.6,700,Male,3
2002,18,5.9,790,Female,3
2002,16,2.9,600,Male,2
2002,25,9,910,Female,3
2002,22,6.9,830,Female,6
2002,10,4,680,Female,3
2002,17,4,720,Female,3
2002,27,5,720,Male,3
2002,19,5,720,Male,3
2002,17,4.3,720,Male,6
2002,12,4.5,710,Female,6
2002,35,4,670,Male,3
2002,13,8,890,Female,4
2002,13,2.65,630,Male,3
2002,8,3.3,680,Female,1
2002,17,3.43,640,Male,3
2002,13,3.09,640,Male,3
2002,36,3.65,680,Male,6
2002,22,7.5,690,Male,6
2002,10,3.34,660,Female,3
2002,9,2.89,630,Female,2
2002,7,2.4,580,Male,1
2002,9,4,710,Female,3
2002,30,4.3,720,Male,6
2002,5,2.2,580,Male,2
2002,7,2.4,570,Male,2
2002,23,3.2,670,Male,3
2002,15,4,690,Male,3
2002,6,4.2,700,Female,6
2002,30,4.5,720,Female,6
2002,9,4.4,710,Female,3
2002,7,3.5,680,Female,2
2002,7,3.3,650,Female,6
2002,7,3.6,670,Female,3
2002,12,2,580,Male,2
2002,8,2,560,Male,2
2002,11,2.3,580,Male,3
2002,10,2.3,590,Female,2
2002,9,4.9,770,Female,3
2002,7,3.3,650,Female,6
2002,29,8.4,880,Female,3
2002,12,2.5,620,Male,3
2002,9,4.5,740,Female,3
2002,35,5.5,780,Female,6
2002,8,4.6,740,Female,3
2002,10,4.5,730,Female,3
2002,8,2.6,600,Male,3
2002,35,4.3,710,Male,6
2002,6,2.5,620,Female,2
2002,5,3.2,640,Female,6
2002,30,6.8,830,Female,6
2002,24,6.1,790,Female,3
2002,6,2.5,620,Female,2
2002,7,2.3,600,Male,2
2002,23,6.5,820,Female,3
2002,6,1.4,520,Male,1
2002,8,2.7,620,Female,3
2002,17,5.3,760,Female,3
2002,9,3.7,670,Female,3
2002,7,3.7,710,Female,3
2002,7,3.5,670,Female,2
2002,9,3.6,650,Female,3
2002,8,4.1,680,Female,6
2002,7,2.7,610,Male,3
2002,15,5,770,Female,5
2002,6,2.3,570,Male,2
2002,15,6.1,830,Female,5
2002,8,2.1,570,Female,2
2002,28,4.2,700,Male,3
2002,13,4.8,700,Female,3
2002,19,3.3,580,Female,3
2002,24,3.3,660,Male,3
2002,7,2.1,560,Female,2
2002,9,2.2,560,Female,2
2002,7,3.1,630,Female,3
2002,27,4,670,Male,3
2002,8,1.5,500,Female,1
2002,12,5.4,750,Female,3
2002,28,3.6,660,Male,3
2002,17,6,780,Female,3
2002,6,1.9,540,Male,1
2002,35,4.7,740,Male,3
2002,7,3.4,690,Female,6
2002,19,5.9,770,Female,3
2002,7,4.8,700,Female,3
2002,7,3.2,640,Female,2
2002,10,3.7,660,Female,3
2002,11,4.6,730,Female,6
