Survey,Year,Cruise Join ID,Haul Join ID,Cruise Number,Vessel Number,Haul Number,Starting Latitude (dd),Starting Longitude (dd),Ending Latitude (dd),Ending Longitude (dd),Stratum,Stratum INPFC Area,Stratum Min Depth (m),Stratum Max Depth (m),Stratum Description,Stratum Regulatory Area Name,Stratum Type,Domain,Density,Gear Performance,Satifactory Gear Performance,Gear Performance Description,Gear Depth,Bottom Depth,Specimen ID,Biostratum,Species Code,Common Name,Scientific Name,Length (mm),Sex,Weight (gm),Age (years),Maturity,Maturity Table,Gonad Weight,Specimen Subsample Method,Specimen Sample Type,Age Determination Method,AKFIN Load Date
EBS_SHELF,2016,-707,-15605,201601,162,137,58.98769,-171.14628,58.9896,-171.09765,41,,,,"50-100m in NW section, low density, - MIDDLE DOMAIN",,,,,0,Y,Good performance,76,78,6,0,10115,Greenland turbot,Reinhardtius hippoglossoides,630,Female,2220,7,,,,6,1,8,16-Oct-20
EBS_SHELF,2016,-707,-15606,201601,162,138,59.30032,-170.53573,59.32497,-170.53219,41,,,,"50-100m in NW section, low density, - MIDDLE DOMAIN",,,,,0,Y,Good performance,66,68,10,0,10115,Greenland turbot,Reinhardtius hippoglossoides,610,Female,1975,9,,,,6,1,8,16-Oct-20
EBS_SHELF,2018,-723,-18166,201801,162,173,60.65361,-174.79623,60.67327,-174.8291,41,,,,"50-100m in NW section, low density, - MIDDLE DOMAIN",,,,,0,Y,Good performance,95,97,16,0,10115,Greenland turbot,Reinhardtius hippoglossoides,620,Male,2220,10,,,,6,1,8,16-Oct-20
EBS_SHELF,2015,-697,-14542,201501,94,133,59.02378,-172.4501,58.99905,-172.44525,41,,,,"50-100m in NW section, low density, - MIDDLE DOMAIN",,,,,0,Y,Good performance,96,98,10,0,10115,Greenland turbot,Reinhardtius hippoglossoides,490,Male,1010,6,,,,6,1,8,16-Oct-20
EBS_SHELF,2015,-697,-14699,201501,94,145,59.3243,-173.16511,59.35079,-173.16874,43,,,,"50-100m in NW section, high density, St.Matthew - MIDDLE DOMAIN",,,,,0,Y,Good performance,99,101,40,0,10115,Greenland turbot,Reinhardtius hippoglossoides,530,Female,1280,8,,,,6,1,8,16-Oct-20
EBS_SHELF,2015,-697,-14700,201501,94,146,59.48089,-173.50303,59.50598,-173.51129,43,,,,"50-100m in NW section, high density, St.Matthew - MIDDLE DOMAIN",,,,,0,Y,Good performance,101,103,57,0,10115,Greenland turbot,Reinhardtius hippoglossoides,500,Female,988,7,,,,6,1,8,16-Oct-20
EBS_SHELF,2015,-697,-14700,201501,94,146,59.48089,-173.50303,59.50598,-173.51129,43,,,,"50-100m in NW section, high density, St.Matthew - MIDDLE DOMAIN",,,,,0,Y,Good performance,101,103,60,0,10115,Greenland turbot,Reinhardtius hippoglossoides,260,Female,136,2,,,,6,1,3,16-Oct-20
EBS_SHELF,2015,-697,-14700,201501,94,146,59.48089,-173.50303,59.50598,-173.51129,43,,,,"50-100m in NW section, high density, St.Matthew - MIDDLE DOMAIN",,,,,0,Y,Good performance,101,103,53,0,10115,Greenland turbot,Reinhardtius hippoglossoides,570,Female,1580,8,,,,6,1,8,16-Oct-20
EBS_SHELF,2015,-697,-14700,201501,94,146,59.48089,-173.50303,59.50598,-173.51129,43,,,,"50-100m in NW section, high density, St.Matthew - MIDDLE DOMAIN",,,,,0,Y,Good performance,101,103,66,0,10115,Greenland turbot,Reinhardtius hippoglossoides,440,Male,702,5,,,,6,1,8,16-Oct-20
EBS_SHELF,2015,-697,-14700,201501,94,146,59.48089,-173.50303,59.50598,-173.51129,43,,,,"50-100m in NW section, high density, St.Matthew - MIDDLE DOMAIN",,,,,0,Y,Good performance,101,103,67,0,10115,Greenland turbot,Reinhardtius hippoglossoides,610,Male,2068,7,,,,6,1,8,16-Oct-20
EBS_SHELF,2015,-697,-14705,201501,94,153,59.9928,-173.93871,60.01431,-173.96422,43,,,,"50-100m in NW section, high density, St.Matthew - MIDDLE DOMAIN",,,,,0,Y,Good performance,95,97,93,0,10115,Greenland turbot,Reinhardtius hippoglossoides,390,Female,474,5,,,,6,1,8,16-Oct-20
EBS_SHELF,2017,-711,-16980,201701,162,131,60.13589,-173.76646,60.11099,-173.77018,43,,,,"50-100m in NW section, high density, St.Matthew - MIDDLE DOMAIN",,,,,0,Y,Good performance,86,88,27,0,10115,Greenland turbot,Reinhardtius hippoglossoides,630,Female,2520,12,,,,6,1,8,16-Oct-20
EBS_SHELF,2019,-726,-19416,201901,94,156,59.65889,-172.57127,59.68346,-172.55753,43,,,,"50-100m in NW section, high density, St.Matthew - MIDDLE DOMAIN",,,,,0,Y,Good performance,82,84,6,0,10115,Greenland turbot,Reinhardtius hippoglossoides,740,Female,4180,10,,,,6,1,8,16-Oct-20
EBS_SHELF,2019,-727,-19236,201901,162,130,59.3445,-171.82701,59.31898,-171.8307,43,,,,"50-100m in NW section, high density, St.Matthew - MIDDLE DOMAIN",,,,,0,Y,Good performance,77,79,2,0,10115,Greenland turbot,Reinhardtius hippoglossoides,690,Female,2735,10,,,,6,1,8,16-Oct-20
EBS_SHELF,2019,-727,-19436,201901,162,158,59.64903,-173.23965,59.67342,-173.22372,43,,,,"50-100m in NW section, high density, St.Matthew - MIDDLE DOMAIN",,,,,0,Y,Good performance,94,96,15,0,10115,Greenland turbot,Reinhardtius hippoglossoides,690,Female,3292,7,,,,6,1,8,16-Oct-20
EBS_SHELF,2016,-706,-15663,201601,94,153,60.15674,-174.34879,60.17915,-174.36644,43,,,,"50-100m in NW section, high density, St.Matthew - MIDDLE DOMAIN",,,,,0,Y,Good performance,98,100,67,0,10115,Greenland turbot,Reinhardtius hippoglossoides,490,Male,904,7,,,,6,1,8,16-Oct-20
